filename,class,xmin,xmax,ymin,ymax
2007_000027.jpg,person,174,349,101,351
2007_000032.jpg,aeroplane,104,375,78,183
2007_000032.jpg,aeroplane,133,197,88,123
2007_000032.jpg,person,195,213,180,229
2007_000032.jpg,person,26,44,189,238
2007_000033.jpg,aeroplane,9,499,107,263
2007_000033.jpg,aeroplane,421,482,200,226
2007_000033.jpg,aeroplane,325,411,188,223
2007_000039.jpg,tvmonitor,156,344,89,279
2007_000042.jpg,train,263,500,32,295
2007_000042.jpg,train,1,235,36,299
2007_000061.jpg,boat,274,437,11,279
2007_000061.jpg,boat,184,281,214,252
2007_000063.jpg,dog,123,379,115,275
2007_000063.jpg,chair,75,428,1,375
2007_000068.jpg,bird,27,266,45,375
2007_000121.jpg,tvmonitor,251,475,28,267
2007_000121.jpg,tvmonitor,22,251,28,273
2007_000123.jpg,train,1,358,26,340
2007_000129.jpg,bicycle,70,255,202,500
2007_000129.jpg,bicycle,251,334,242,500
2007_000129.jpg,bicycle,1,67,144,436
2007_000129.jpg,person,1,66,1,363
2007_000129.jpg,person,74,272,1,462
2007_000129.jpg,person,252,334,19,487
2007_000170.jpg,bottle,87,109,100,165
2007_000170.jpg,bottle,41,73,114,181
2007_000170.jpg,bottle,324,352,148,206
2007_000170.jpg,bottle,426,443,157,195
2007_000170.jpg,person,3,43,91,206
2007_000170.jpg,person,4,461,28,372
2007_000175.jpg,sheep,25,419,34,271
2007_000187.jpg,tvmonitor,1,240,95,336
2007_000241.jpg,boat,356,500,183,280
2007_000241.jpg,boat,60,142,109,213
2007_000241.jpg,boat,246,348,134,217
2007_000243.jpg,aeroplane,181,274,127,193
2007_000250.jpg,diningtable,1,474,170,375
2007_000250.jpg,bottle,97,150,124,297
2007_000256.jpg,aeroplane,8,491,96,232
2007_000272.jpg,person,25,304,71,500
2007_000323.jpg,person,277,500,3,375
2007_000323.jpg,person,12,305,3,375
2007_000332.jpg,horse,54,285,50,262
2007_000333.jpg,train,1,367,39,270
2007_000346.jpg,bottle,124,230,107,343
2007_000346.jpg,person,137,497,78,375
2007_000346.jpg,person,89,129,202,247
2007_000346.jpg,person,72,111,209,259
2007_000363.jpg,bird,59,220,15,239
2007_000363.jpg,bird,161,500,122,333
2007_000364.jpg,motorbike,54,454,25,315
2007_000364.jpg,motorbike,318,489,37,161
2007_000364.jpg,person,369,458,1,130
2007_000392.jpg,horse,100,355,96,324
2007_000392.jpg,person,198,286,58,197
2007_000423.jpg,person,51,122,80,266
2007_000423.jpg,person,367,461,92,315
2007_000452.jpg,sofa,50,295,121,338
2007_000452.jpg,chair,474,500,140,284
2007_000464.jpg,cow,71,216,252,314
2007_000464.jpg,cow,58,241,202,295
2007_000480.jpg,person,293,419,162,375
2007_000480.jpg,person,114,228,165,373
2007_000480.jpg,person,5,116,172,373
2007_000480.jpg,aeroplane,2,486,68,325
2007_000491.jpg,cow,2,459,2,334
2007_000504.jpg,cow,341,500,102,406
2007_000504.jpg,person,36,79,34,123
2007_000504.jpg,person,2,36,44,120
2007_000504.jpg,person,29,41,42,64
2007_000515.jpg,bicycle,1,40,199,293
2007_000515.jpg,person,1,29,85,279
2007_000515.jpg,car,64,151,164,210
2007_000515.jpg,car,147,186,167,200
2007_000528.jpg,cat,124,319,68,310
2007_000529.jpg,boat,290,500,143,250
2007_000529.jpg,car,422,461,237,255
2007_000549.jpg,cat,1,341,49,499
2007_000559.jpg,bottle,36,79,250,354
2007_000559.jpg,tvmonitor,160,371,26,241
2007_000572.jpg,bicycle,1,235,178,331
2007_000572.jpg,bicycle,8,226,134,297
2007_000584.jpg,bicycle,31,369,74,346
2007_000584.jpg,sofa,344,500,207,374
2007_000629.jpg,train,34,500,84,184
2007_000629.jpg,person,87,107,100,124
2007_000636.jpg,train,79,392,96,300
2007_000645.jpg,bird,135,500,46,374
2007_000645.jpg,bird,124,365,146,375
2007_000648.jpg,person,394,404,199,223
2007_000648.jpg,person,424,436,199,220
2007_000648.jpg,person,434,444,196,220
2007_000648.jpg,person,443,452,195,220
2007_000648.jpg,bus,29,353,113,266
2007_000648.jpg,aeroplane,328,474,86,192
2007_000648.jpg,car,2,28,213,235
2007_000661.jpg,sofa,119,331,177,278
2007_000661.jpg,pottedplant,65,170,90,197
2007_000661.jpg,chair,133,179,159,197
2007_000663.jpg,bus,12,417,2,467
2007_000663.jpg,car,7,63,39,94
2007_000663.jpg,car,362,422,24,53
2007_000663.jpg,car,376,422,36,81
2007_000663.jpg,car,373,422,68,108
2007_000663.jpg,car,376,422,98,210
2007_000664.jpg,person,51,325,2,375
2007_000676.jpg,sheep,59,472,94,270
2007_000713.jpg,boat,80,254,168,312
2007_000713.jpg,boat,184,472,160,269
